Date,Open,High,Low,Close,Adj Close,Volume,Categorical_Variable
12/5/2019,263.790009,265.890015,262.730011,265.579987,264.951172,18606100,4
12/6/2019,267.480011,271,267.299988,270.709991,270.069031,26518900,5
12/9/2019,270,270.799988,264.910004,266.920013,266.288025,32010600,1
12/10/2019,268.600006,270.070007,265.859985,268.480011,267.84433,22605100,2
12/11/2019,268.809998,271.100006,268.5,270.769989,270.128906,19689200,3
12/12/2019,267.779999,272.559998,267.320007,271.459991,270.817261,34327600,4
12/13/2019,271.459991,275.299988,270.929993,275.149994,274.498535,33396900,5
12/16/2019,277,280.790009,276.980011,279.859985,279.197357,32046500,1
12/17/2019,279.570007,281.769989,278.799988,280.410004,279.746094,28539600,2
12/18/2019,279.799988,281.899994,279.119995,279.73999,279.077667,29007100,3
12/19/2019,279.5,281.179993,278.950012,280.019989,279.356995,24592300,4
12/20/2019,282.230011,282.649994,278.559998,279.440002,278.778381,68994500,5
12/23/2019,280.529999,284.25,280.369995,284,283.327576,24643000,1
12/24/2019,284.690002,284.890015,282.920013,284.269989,283.596924,12119700,2
12/26/2019,284.820007,289.980011,284.700012,289.910004,289.223602,23280300,3
12/27/2019,291.119995,293.970001,288.119995,289.799988,289.113831,36566500,4
12/30/2019,289.459991,292.690002,285.220001,291.519989,290.829773,36028600,5
12/31/2019,289.929993,293.679993,289.519989,293.649994,292.954712,25201400,1
1/2/2020,296.23999,300.600006,295.190002,300.350006,299.638885,33870100,2
1/3/2020,297.149994,300.579987,296.5,297.429993,296.725769,36580700,3
1/6/2020,293.790009,299.959991,292.75,299.799988,299.090149,29596800,4
1/7/2020,299.839996,300.899994,297.480011,298.390015,297.683533,27218000,5
1/8/2020,297.160004,304.440002,297.160004,303.190002,302.472137,33019800,1
1/9/2020,307.23999,310.429993,306.200012,309.630005,308.896912,42527100,2
1/10/2020,310.600006,312.670013,308.25,310.329987,309.595215,35161200,3
1/13/2020,311.640015,317.070007,311.149994,316.959991,316.209534,30383000,4
1/14/2020,316.700012,317.570007,312.170013,312.679993,311.939667,40488600,5
1/15/2020,311.850006,315.5,309.549988,311.339996,310.602844,30480900,1
1/16/2020,313.589996,315.700012,312.089996,315.23999,314.493591,27207300,2
1/17/2020,316.269989,318.73999,315,318.730011,317.975372,34454100,3
1/21/2020,317.190002,319.019989,316,316.570007,315.820465,27710800,4
1/22/2020,318.579987,319.98999,317.309998,317.700012,316.947815,25458100,5
1/23/2020,317.920013,319.559998,315.649994,319.230011,318.474182,26118000,1
1/24/2020,320.25,323.329987,317.519989,318.309998,317.556335,36634400,2
1/27/2020,310.059998,311.769989,304.880005,308.950012,308.218506,40485000,3
1/28/2020,312.600006,318.399994,312.190002,317.690002,316.937805,40558500,4
1/29/2020,324.450012,327.850006,321.380005,324.339996,323.572052,54057300,5
1/30/2020,320.540009,324.089996,318.75,323.869995,323.10318,31685800,1
1/31/2020,320.929993,322.679993,308.290009,309.51001,308.777191,49897100,2
2/3/2020,304.299988,313.48999,302.220001,308.660004,307.929199,43496400,3
2/4/2020,315.309998,319.640015,313.630005,318.850006,318.095062,34154100,4
2/5/2020,323.519989,324.76001,318.950012,321.450012,320.688934,29706700,5
2/6/2020,322.570007,325.220001,320.26001,325.209991,324.440002,26356400,1
2/7/2020,322.369995,323.399994,318,320.029999,320.029999,29421000,2
2/10/2020,314.179993,321.549988,313.850006,321.549988,321.549988,27337200,3
2/11/2020,323.600006,323.899994,318.709991,319.609985,319.609985,23580800,4
2/12/2020,321.470001,327.220001,321.470001,327.200012,327.200012,28432600,5
2/13/2020,324.190002,326.220001,323.350006,324.869995,324.869995,23686900,1
2/14/2020,324.73999,325.980011,322.850006,324.950012,324.950012,20028400,2
2/18/2020,315.359985,319.75,314.609985,319,319,38132800,3
2/19/2020,320,324.570007,320,323.619995,323.619995,23496000,4
2/20/2020,322.630005,324.649994,318.209991,320.299988,320.299988,25141500,5
2/21/2020,318.619995,320.450012,310.5,313.049988,313.049988,32388500,1
2/24/2020,297.26001,304.179993,289.230011,298.179993,298.179993,55548800,2
2/25/2020,300.950012,302.529999,286.130005,288.079987,288.079987,57668400,3
2/26/2020,286.529999,297.880005,286.5,292.649994,292.649994,49513700,4
2/27/2020,281.100006,286,272.959991,273.519989,273.519989,80151400,5
2/28/2020,257.26001,278.410004,256.369995,273.359985,273.359985,106721200,1
3/2/2020,282.279999,301.440002,277.720001,298.809998,298.809998,85349300,2
3/3/2020,303.670013,304,285.799988,289.320007,289.320007,79868900,3
3/4/2020,296.440002,303.399994,293.130005,302.73999,302.73999,54794600,4
3/5/2020,295.519989,299.549988,291.410004,292.920013,292.920013,46893200,5
3/6/2020,282,290.820007,281.230011,289.029999,289.029999,56544200,1
3/9/2020,263.75,278.089996,263,266.170013,266.170013,71222700,2
3/10/2020,277.140015,281.829987,269.390015,275.660004,275.660004,38684290,3
